FA D3;A;;B;;C;;D;
Variable;Factor1;Factor2;Factor1;Factor2;Factor1;Factor2;Factor1;Factor2
d13C;-0.142;0.987;-0.135;0.988;-0.142;0.987;-0.142;0.987
d18O;0.122;0.274;0.107;0.271;0.122;0.274;0.122;0.274
Mg;0.323;0.106;0.282;0.063;0.323;0.106;0.323;0.106
Fe;0.831;-0.066;0.827;-0.081;0.831;-0.066;0.831;-0.066
Mn;0.722;-0.212;0.695;-0.244;0.722;-0.212;0.722;-0.212
Sr;0.228;-0.312;0.174;-0.385;0.228;-0.312;0.228;-0.312
