FA D7;A;;B;;C;;D;
Variable;Factor1;Factor2;Factor1;Factor2;Factor1;Factor2;Factor1;Factor2
d13C;-0.938;-0.166;-0.869;0.003;-0.938;-0.166;-0.938;-0.166
d18O;-0.333;-0.539;-0.572;-0.076;-0.333;-0.539;-0.333;-0.539
Mg;0.058;0.666;0.162;0.984;0.058;0.666;0.058;0.666
Fe;0.622;0.581;0.786;0.316;0.622;0.581;0.622;0.581
Mn;0.805;0.177;0.763;0.305;0.805;0.177;0.805;0.177
Sr;0.805;0.588;0.884;0.462;0.805;0.588;0.805;0.588
