FA D4;A;;B;;C;;D;
Variable;Factor1;Factor2;Factor1;Factor2;Factor1;Factor2;Factor1;Factor2
d13C;-0.101;-0.130;-0.080;-0.127;-0.101;-0.130;-0.101;-0.130
d18O;-0.799;-0.103;-0.789;-0.074;-0.799;-0.103;-0.799;-0.103
Mg;0.915;0.130;0.916;0.154;0.915;0.130;0.915;0.130
Fe;0.212;0.825;0.190;0.940;0.212;0.825;0.212;0.825
Mn;0.019;0.997;0.036;0.886;0.019;0.997;0.019;0.997
Sr;0.880;0.281;0.898;0.293;0.880;0.281;0.880;0.281
