PCA D2;A;;B;;C;;D;
Variable;PC1;PC2;PC1;PC2;PC1;PC2;PC1;PC2
d13C;-0.060;0.552;-0.061;0.570;-0.060;0.552;-0.060;0.552
d18O;-0.335;0.587;-0.310;0.598;-0.335;0.587;-0.335;0.587
Mg;-0.579;-0.047;-0.566;-0.031;-0.579;-0.047;-0.579;-0.047
Fe;-0.394;-0.287;-0.428;-0.253;-0.394;-0.287;-0.394;-0.287
Mn;-0.170;-0.516;-0.219;-0.502;-0.170;-0.516;-0.170;-0.516
Sr;0.604;0.004;0.590;-0.027;0.604;0.004;0.604;0.004
