PCA D3;A;;B;;C;;D;
Variable;PC1;PC2;PC1;PC2;PC1;PC2;PC1;PC2
d13C;0.362;-0.604;-0.435;0.546;0.362;-0.604;0.362;-0.604
d18O;-0.011;-0.681;-0.061;0.662;-0.011;-0.681;-0.011;-0.681
Mg;-0.34;-0.387;0.284;0.319;-0.34;-0.387;-0.34;-0.387
Fe;-0.536;-0.136;0.512;0.332;-0.536;-0.136;-0.536;-0.136
Mn;-0.548;0.02;0.551;0.153;-0.548;0.02;-0.548;0.02
Sr;-0.408;-0.044;0.401;-0.169;-0.408;-0.044;-0.408;-0.044
